Raw Input by Index
i,Time,Signal
109,0.0109,-0.0931022,0
110,0.011,2.61911,0
111,0.0111,4.85458,0
112,0.0112,6.45699,0
113,0.0113,7.4939,0
114,0.0114,8.14409,0
115,0.0115,8.53692,0
116,0.0116,8.63606,0
117,0.0117,8.23525,0
118,0.0118,7.07114,0
119,0.0119,4.99304,0
120,0.012,2.09642,0
121,0.0121,-1.2554,0
122,0.0122,-4.53818,0
123,0.0123,-7.25112,0
124,0.0124,-9.08635,0
125,0.0125,-10,0
126,0.0126,-10.1542,0
127,0.0127,-9.76877,0
128,0.0128,-8.96848,0
129,0.0129,-7.71226,0
130,0.013,-5.84404,0
131,0.0131,-3.23602,0
132,0.0132,0.057097,0
133,0.0133,3.72285,0
134,0.0134,7.24375,0
135,0.0135,10.0586,0
136,0.0136,11.7549,0
137,0.0137,12.1974,0
138,0.0138,11.5311,0
139,0.0139,10.0642,0
140,0.014,8.09742,0
141,0.0141,5.79349,0
142,0.0142,3.15617,0
143,0.0143,0.124296,0
144,0.0144,-3.27701,0
145,0.0145,-6.81946,0
146,0.0146,-10.0632,0
147,0.0147,-12.4722,0
148,0.0148,-13.6016,0
149,0.0149,-13.2637,0
150,0.015,-11.5902,0
151,0.0151,-8.95966,0
152,0.0152,-5.83093,0
153,0.0153,-2.5694,0
154,0.0154,0.645079,0
155,0.0155,3.78756,0
156,0.0156,6.86159,0
157,0.0157,9.75707,0
158,0.0158,12.1813,0
159,0.0159,13.7109,0
160,0.016,13.9467,0
161,0.0161,12.6918,0
162,0.0162,10.0626,0
163,0.0163,6.46979,0
164,0.0164,2.47777,0
165,0.0165,-1.38875,0
166,0.0166,-4.79516,0
167,0.0167,-7.63402,0
168,0.0168,-9.94072,0
169,0.0169,-11.7452,0
170,0.017,-12.9509,0
171,0.0171,-13.3155,0
172,0.0172,-12.549,0
173,0.0173,-10.4801,0
174,0.0174,-7.19795,0
175,0.0175,-3.09017,0
176,0.0176,1.2523,0
177,0.0177,5.22066,0
178,0.0178,8.37524,0
179,0.0179,10.5443,0
180,0.018,11.7928,0
181,0.0181,12.2881,0
182,0.0182,12.1435,0
183,0.0183,11.3293,0
184,0.0184,9.70229,0
185,0.0185,7.13509,0
186,0.0186,3.67137,0
187,0.0187,-0.384846,0
188,0.0188,-4.50396,0
189,0.0189,-8.08162,0
190,0.019,-10.6351,0
191,0.0191,-11.9494,0
192,0.0192,-12.1036,0
193,0.0193,-11.3692,0
194,0.0194,-10.041,0
195,0.0195,-8.29284,0
196,0.0196,-6.13406,0
197,0.0197,-3.48644,0
198,0.0198,-0.331852,0
199,0.0199,3.15796,0
200,0.02,6.59017,0
201,0.0201,9.44509,0
202,0.0202,11.2544,0
203,0.0203,11.7747,0
204,0.0204,11.0683,0
205,0.0205,9.45092,0
206,0.0206,7.33493,0
207,0.0207,5.05191,0
208,0.0208,2.74522,0
209,0.0209,0.384901,0
210,0.021,-2.11125,0
211,0.0211,-4.72491,0
212,0.0212,-7.2441,0
213,0.0213,-9.28828,0
214,0.0214,-10.4447,0
215,0.0215,-10.4467,0
216,0.0216,-9.30069,0
217,0.0217,-7.29245,0
218,0.0218,-4.86826,0
219,0.0219,-2.45133,0
220,0.022,-0.287565,0
221,0.0221,1.60206,0
222,0.0222,3.34371,0
223,0.0223,5.05662,0
224,0.0224,6.71252,0
225,0.0225,8.09017,0
226,0.0226,8.85342,0
227,0.0227,8.71276,0
228,0.0228,7.5834,0
229,0.0229,5.65293,0
230,0.023,3.31946,0
231,0.0231,1.02987,0
232,0.0232,-0.898607,0
233,0.0233,-2.38186,0
234,0.0234,-3.54635,0
235,0.0235,-4.59742,0
236,0.0236,-5.65399,0
237,0.0237,-6.6423,0
238,0.0238,-7.30858,0
239,0.0239,-7.34467,0
240,0.024,-6.55861,0
241,0.0241,-4.99661,0
242,0.0242,-2.94854,0
243,0.0243,-0.831408,0
244,0.0244,0.988877,0
245,0.0245,2.34404,0
246,0.0246,3.30201,0
247,0.0247,4.07967,0
248,0.0248,4.87996,0
249,0.0249,5.74394,0
250,0.025,6.5,0
251,0.0251,6.83922,0
252,0.0252,6.47681,0
253,0.0253,5.31249,0
254,0.0254,3.50254,0
255,0.0255,1.40358,0
256,0.0256,-0.582782,0
257,0.0257,-2.18233,0
258,0.0258,-3.34644,0
259,0.0259,-4.2258,0
260,0.026,-5.03692,0
261,0.0261,-5.89695,0
262,0.0262,-6.71958,0
263,0.0263,-7.2313,0
264,0.0264,-7.10171,0
265,0.0265,-6.11911,0
266,0.0266,-4.31716,0
267,0.0267,-1.98396,0
268,0.0268,0.452318,0
269,0.0269,2.60153,0
270,0.027,4.25991,0
271,0.0271,5.4524,0
272,0.0272,6.35058,0
273,0.0273,7.11592,0
274,0.0274,7.75814,0
275,0.0275,8.09017,0
276,0.0276,7.80779,0
277,0.0277,6.65346,0
278,0.0278,4.57653,0
279,0.0279,1.80259,0
280,0.028,-1.22802,0
281,0.0281,-4.02299,0
282,0.0282,-6.21918,0
283,0.0283,-7.69035,0
284,0.0284,-8.52988,0
285,0.0285,-8.92499,0
286,0.0286,-8.99693,0
287,0.0287,-8.69928,0
288,0.0288,-7.8331,0
289,0.0289,-6.17263,0
290,0.029,-3.63294,0
291,0.0291,-0.385905,0
292,0.0292,3.14312,0
293,0.0293,6.40284,0
294,0.0294,8.90659,0
295,0.0295,10.3914,0
296,0.0296,10.8678,0
297,0.0297,10.5419,0
298,0.0298,9.65756,0
299,0.0299,8.34982,0
300,0.03,6.59017,0
301,0.0301,4.25324,0
302,0.0302,1.26499,0
303,0.0303,-2.25361,0
304,0.0304,-5.93353,0
305,0.0305,-9.2333,0
306,0.0306,-11.6127,0
307,0.0307,-12.7201,0
308,0.0308,-12.5015,0
309,0.0309,-11.1786,0
310,0.031,-9.11339,0
311,0.0311,-6.6339,0
312,0.0312,-3.91496,0
313,0.0313,-0.973845,0
314,0.0314,2.22364,0
315,0.0315,5.61339,0
316,0.0316,8.93148,0
317,0.0317,11.7272,0
318,0.0318,13.4944,0
319,0.0319,13.8598,0
320,0.032,12.7333,0
321,0.0321,10.3438,0
322,0.0322,7.14242,0
323,0.0323,3.62382,0
324,0.0324,0.15702,0
325,0.0325,-3.09017,0
326,0.0326,-6.10268,0
327,0.0327,-8.88325,0
328,0.0328,-11.3162,0
329,0.0329,-13.1149,0
330,0.033,-13.8914,0
331,0.0331,-13.3168,0
332,0.0332,-11.2916,0
333,0.0333,-8.03193,0
334,0.0334,-4.02435,0
335,0.0335,0.13294,0
336,0.0336,3.92549,0
337,0.0337,7.05879,0
338,0.0338,9.47359,0
339,0.0339,11.2441,0
340,0.034,12.425,0
341,0.0341,12.9401,0
342,0.0342,12.5792,0
343,0.0343,11.108,0
344,0.0344,8.43325,0
345,0.0345,4.72802,0
346,0.0346,0.444546,0
347,0.0347,-3.80222,0
348,0.0348,-7.42777,0
349,0.0349,-10.0549,0
350,0.035,-11.5902,0
351,0.0351,-12.1684,0
352,0.0352,-12.0047,0
353,0.0353,-11.2394,0
354,0.0354,-9.86266,0
355,0.0355,-7.75991,0
356,0.0356,-4.84867,0
357,0.0357,-1.22663,0
358,0.0358,2.75827,0
359,0.0359,6.56429,0
360,0.036,9.61911,0
361,0.0361,11.512,0
362,0.0362,12.1201,0
363,0.0363,11.6084,0
364,0.0364,10.3072,0
365,0.0365,8.53692,0
366,0.0366,6.47294,0
367,0.0367,4.12075,0
368,0.0368,1.40802,0
369,0.0369,-1.66436,0
370,0.037,-4.90358,0
371,0.0371,-7.9128,0
372,0.0372,-10.2013,0
373,0.0373,-11.3656,0
374,0.0374,-11.2495,0
375,0.0375,-10,0
376,0.0376,-7.99108,0
377,0.0377,-5.65428,0
378,0.0378,-3.30536,0
379,0.0379,-1.05487,0
380,0.038,1.15596,0
381,0.0381,3.42138,0
382,0.0382,5.72022,0
383,0.0383,7.83735,0
384,0.0384,9.40687,0
385,0.0385,10.0586,0
386,0.0386,9.59181,0
387,0.0387,8.08289,0
388,0.0388,5.86799,0
389,0.0389,3.40685,0
390,0.039,1.09742,0
391,0.0391,-0.863908,0
392,0.0392,-2.50695,0
393,0.0393,-3.9902,0
394,0.0394,-5.44013,0
395,0.0395,-6.81946,0
396,0.0396,-7.90007,0
397,0.0397,-8.35771,0
398,0.0398,-7.93845,0
399,0.0399,-6.60628,0
400,0.04,-4.59017,0
401,0.0401,-2.30226,0
402,0.0402,-0.16781,0
403,0.0403,1.5451,0
404,0.0404,2.8082,0
405,0.0405,3.78756,0
406,0.0406,4.69847,0
407,0.0407,5.64257,0
408,0.0408,6.51813,0
409,0.0409,7.05355,0
410,0.041,6.94668,0
411,0.0411,6.0344,0
412,0.0412,4.39947,0
413,0.0413,2.35529,0
414,0.0414,0.31465,0
415,0.0415,-1.38875,0
416,0.0416,-2.63204,0
417,0.0417,-3.51953,0
418,0.0418,-4.2776,0
419,0.0419,-5.08779,0
420,0.042,-5.95092,0
421,0.0421,-6.65809,0
422,0.0422,-6.88591,0
423,0.0423,-6.3656,0
424,0.0424,-5.03483,0
425,0.0425,-3.09017,0
426,0.0426,-0.910824,0
427,0.0427,1.10616,0
428,0.0428,2.71212,0
429,0.0429,3.88693,0
430,0.043,4.79284,0
431,0.0431,5.63074,0
432,0.0432,6.48035,0
433,0.0433,7.21478,0
434,0.0434,7.53917,0
435,0.0435,7.13509,0
436,0.0436,5.83449,0
437,0.0437,3.72965,0
438,0.0438,1.15916,0
439,0.0439,-1.42423,0
440,0.044,-3.63509,0
441,0.0441,-5.29203,0
442,0.0442,-6.44047,0
443,0.0443,-7.25466,0
444,0.0444,-7.87788,0
445,0.0445,-8.29284,0
446,0.0446,-8.29718,0
447,0.0447,-7.60093,0
448,0.0448,-5.99497,0
449,0.0449,-3.49943,0
450,0.045,-0.40983,0
451,0.0451,2.7877,0
452,0.0452,5.59129,0
453,0.0453,7.66022,0
454,0.0454,8.90522,0
455,0.0455,9.45092,0
456,0.0456,9.49805,0
457,0.0457,9.16641,0
458,0.0458,8.40833,0
459,0.0459,7.0423,0
460,0.046,4.88875,0
461,0.0461,1.93249,0
462,0.0462,-1.58098,0
463,0.0463,-5.17378,0
464,0.0464,-8.28154,0
465,0.0465,-10.4467,0
466,0.0466,-11.4638,0
467,0.0467,-11.4069,0
468,0.0468,-10.5314,0
469,0.0469,-9.10873,0
470,0.047,-7.28756,0
471,0.0471,-5.05534,0
472,0.0472,-2.31941,0
473,0.0473,0.942121,0
474,0.0474,4.5494,0
475,0.0475,8.09017,0
476,0.0476,11.0165,0
477,0.0477,12.8273,0
478,0.0478,13.2465,0
479,0.0479,12.3103,0
480,0.048,10.3195,0
481,0.0481,7.68726,0
482,0.0482,4.76451,0
483,0.0483,1.73264,0
484,0.0484,-1.38323,0
485,0.0485,-4.59742,0
486,0.0486,-7.81711,0
487,0.0487,-10.7568,0
488,0.0488,-12.9717,0
489,0.0489,-14.0021,0
490,0.049,-13.5586,0
491,0.0491,-11.654,0
492,0.0492,-8.61166,0
493,0.0493,-4.9459,0
494,0.0494,-1.17424,0
495,0.0495,2.34404,0
496,0.0496,5.46513,0
497,0.0497,8.19417,0
498,0.0498,10.5431,0
499,0.0499,12.4013,0
500,0.05,13.5,0
501,0.0501,13.4966,0
502,0.0502,12.1399,0
503,0.0503,9.42699,0
504,0.0504,5.66566,0
505,0.0505,1.40358,0
506,0.0506,-2.7459,0
507,0.0507,-6.29683,0
508,0.0508,-9.00956,0
509,0.0509,-10.8832,0
510,0.051,-12.0369,0
511,0.0511,-12.5543,0
512,0.0512,-12.3827,0
513,0.0513,-11.3458,0
514,0.0514,-9.26483,0
515,0.0515,-6.11911,0
516,0.0516,-2.15404,0
517,0.0517,2.13054,0
518,0.0518,6.11544,0
519,0.0519,9.25892,0
520,0.052,11.2599,0
521,0.0521,12.1098,0
522,0.0522,12.0137,0
523,0.0523,11.2304,0
524,0.0524,9.92126,0
525,0.0525,8.09017,0
526,0.0526,5.64467,0
527,0.0527,2.53896,0
528,0.0528,-1.08659,0
529,0.0529,-4.8548,0
530,0.053,-8.22802,0
531,0.0531,-10.6804,0
532,0.0532,-11.8823,0
533,0.0533,-11.8048,0
534,0.0534,-10.693,0
535,0.0535,-8.92499,0
536,0.0536,-6.83381,0
537,0.0537,-4.58479,0
538,0.0538,-2.16998,0
539,0.0539,0.484765,0
540,0.054,3.36706,0
541,0.0541,6.27149,0
542,0.0542,8.80624,0
543,0.0543,10.5173,0
544,0.0544,11.0697,0
545,0.0545,10.3914,0
546,0.0546,8.70469,0
547,0.0547,6.4274,0
548,0.0548,3.99444,0
549,0.0549,1.69242,0
550,0.055,-0.40983,0
551,0.0551,-2.40416,0
552,0.0552,-4.39813,0
553,0.0553,-6.36811,0
554,0.0554,-8.09665,0
555,0.0555,-9.2333,0
556,0.0556,-9.44954,0
557,0.0557,-8.60558,0
558,0.0558,-6.83838,0
559,0.0559,-4.52123,0
560,0.056,-2.11339,0
561,0.0561,0.0234951,0
562,0.0562,1.74816,0
563,0.0563,3.14065,0
564,0.0564,4.38676,0
565,0.0565,5.61339,0
566,0.0566,6.76836,0
567,0.0567,7.61269,0
568,0.0568,7.83127,0
569,0.0569,7.2024,0
570,0.057,5.7333,0
571,0.0571,3.68639,0
572,0.0572,1.4793,0
573,0.0573,-0.49068,0
574,0.0574,-2.0061,0
575,0.0575,-3.09017,0
576,0.0576,-3.93956,0
577,0.0577,-4.76876,0
578,0.0578,-5.65309,0
579,0.0579,-6.45755,0
580,0.058,-6.89138,0
581,0.0581,-6.65945,0
582,0.0582,-5.62853,0
583,0.0583,-3.91743,0
584,0.0584,-1.86123,0
585,0.0585,0.13294,0
586,0.0586,1.76237,0
587,0.0587,2.94429,0
588,0.0588,3.81047,0
589,0.0589,4.58667,0
590,0.059,5.42499,0
591,0.0591,6.28274,0
592,0.0592,6.91604,0
593,0.0593,6.99349,0
594,0.0594,6.27013,0
595,0.0595,4.72802,0
596,0.0596,2.60766,0
597,0.0597,0.312274,0
598,0.0598,-1.76465,0
599,0.0599,-3.39754,0
600,0.06,-4.59017,0
601,0.0601,-5.511,0
602,0.0602,-6.34161,0
603,0.0603,-7.12489,0
604,0.0604,-7.69954,0
605,0.0605,-7.75991,0
606,0.0606,-7.01178,0
607,0.0607,-5.34113,0
608,0.0608,-2.90485,0
609,0.0609,-0.0931022,0
610,0.061,2.61911,0
611,0.0611,4.85458,0
612,0.0612,6.45699,0
613,0.0613,7.4939,0
614,0.0614,8.14409,0
615,0.0615,8.53692,0
616,0.0616,8.63606,0
617,0.0617,8.23525,0
618,0.0618,7.07114,0
619,0.0619,4.99304,0
620,0.062,2.09642,0
621,0.0621,-1.2554,0
622,0.0622,-4.53818,0
623,0.0623,-7.25112,0
624,0.0624,-9.08635,0
625,0.0625,-10,0
626,0.0626,-10.1542,0
627,0.0627,-9.76877,0
628,0.0628,-8.96848,0
629,0.0629,-7.71226,0
630,0.063,-5.84404,0
631,0.0631,-3.23602,0
632,0.0632,0.057097,0
633,0.0633,3.72285,0
634,0.0634,7.24375,0
635,0.0635,10.0586,0
636,0.0636,11.7549,0
637,0.0637,12.1974,0
638,0.0638,11.5311,0
639,0.0639,10.0642,0
640,0.064,8.09742,0
641,0.0641,5.79349,0
642,0.0642,3.15617,0
643,0.0643,0.124296,0
644,0.0644,-3.27701,0
645,0.0645,-6.81946,0
646,0.0646,-10.0632,0
647,0.0647,-12.4722,0
648,0.0648,-13.6016,0
649,0.0649,-13.2637,0
650,0.065,-11.5902,0
651,0.0651,-8.95966,0
652,0.0652,-5.83093,0
653,0.0653,-2.5694,0
654,0.0654,0.645079,0
655,0.0655,3.78756,0
656,0.0656,6.86159,0
657,0.0657,9.75707,0
658,0.0658,12.1813,0
659,0.0659,13.7109,0
660,0.066,13.9467,0
661,0.0661,12.6918,0
662,0.0662,10.0626,0
663,0.0663,6.46979,0
664,0.0664,2.47777,0
665,0.0665,-1.38875,0
666,0.0666,-4.79516,0
667,0.0667,-7.63402,0
668,0.0668,-9.94072,0
669,0.0669,-11.7452,0
670,0.067,-12.9509,0
671,0.0671,-13.3155,0
672,0.0672,-12.549,0
673,0.0673,-10.4801,0
674,0.0674,-7.19795,0
675,0.0675,-3.09017,0
676,0.0676,1.2523,0
677,0.0677,5.22066,0
678,0.0678,8.37524,0
679,0.0679,10.5443,0
680,0.068,11.7928,0
681,0.0681,12.2881,0
682,0.0682,12.1435,0
683,0.0683,11.3293,0
684,0.0684,9.70229,0
685,0.0685,7.13509,0
686,0.0686,3.67137,0
687,0.0687,-0.384846,0
688,0.0688,-4.50396,0
689,0.0689,-8.08162,0
690,0.069,-10.6351,0
691,0.0691,-11.9494,0
692,0.0692,-12.1036,0
693,0.0693,-11.3692,0
694,0.0694,-10.041,0
695,0.0695,-8.29284,0
696,0.0696,-6.13406,0
697,0.0697,-3.48644,0
698,0.0698,-0.331852,0
699,0.0699,3.15796,0
700,0.07,6.59017,0
701,0.0701,9.44509,0
702,0.0702,11.2544,0
703,0.0703,11.7747,0
704,0.0704,11.0683,0
705,0.0705,9.45092,0
706,0.0706,7.33493,0
707,0.0707,5.05191,0
708,0.0708,2.74522,0
709,0.0709,0.384901,0
710,0.071,-2.11125,0
711,0.0711,-4.72491,0
712,0.0712,-7.2441,0
713,0.0713,-9.28828,0
714,0.0714,-10.4447,0
715,0.0715,-10.4467,0
716,0.0716,-9.30069,0
717,0.0717,-7.29245,0
718,0.0718,-4.86826,0
719,0.0719,-2.45133,0
720,0.072,-0.287565,0
721,0.0721,1.60206,0
722,0.0722,3.34371,0
723,0.0723,5.05662,0
724,0.0724,6.71252,0
725,0.0725,8.09017,0
726,0.0726,8.85342,0
727,0.0727,8.71276,0
728,0.0728,7.5834,0
729,0.0729,5.65293,0
730,0.073,3.31946,0
731,0.0731,1.02987,0
732,0.0732,-0.898607,0
733,0.0733,-2.38186,0
734,0.0734,-3.54635,0
735,0.0735,-4.59742,0
736,0.0736,-5.65399,0
737,0.0737,-6.6423,0
738,0.0738,-7.30858,0
739,0.0739,-7.34467,0
740,0.074,-6.55861,0
741,0.0741,-4.99661,0
742,0.0742,-2.94854,0
743,0.0743,-0.831408,0
744,0.0744,0.988877,0
745,0.0745,2.34404,0
746,0.0746,3.30201,0
747,0.0747,4.07967,0
748,0.0748,4.87996,0
749,0.0749,5.74394,0
750,0.075,6.5,0
751,0.0751,6.83922,0
752,0.0752,6.47681,0
753,0.0753,5.31249,0
754,0.0754,3.50254,0
755,0.0755,1.40358,0
756,0.0756,-0.582782,0
757,0.0757,-2.18233,0
758,0.0758,-3.34644,0
759,0.0759,-4.2258,0
760,0.076,-5.03692,0
761,0.0761,-5.89695,0
762,0.0762,-6.71958,0
763,0.0763,-7.2313,0
764,0.0764,-7.10171,0
765,0.0765,-6.11911,0
766,0.0766,-4.31716,0
767,0.0767,-1.98396,0
768,0.0768,0.452318,0
769,0.0769,2.60153,0
770,0.077,4.25991,0
771,0.0771,5.4524,0
772,0.0772,6.35058,0
773,0.0773,7.11592,0
774,0.0774,7.75814,0
775,0.0775,8.09017,0
776,0.0776,7.80779,0
777,0.0777,6.65346,0
778,0.0778,4.57653,0
779,0.0779,1.80259,0
780,0.078,-1.22802,0
781,0.0781,-4.02299,0
782,0.0782,-6.21918,0
783,0.0783,-7.69035,0
784,0.0784,-8.52988,0
785,0.0785,-8.92499,0
786,0.0786,-8.99693,0
787,0.0787,-8.69928,0
788,0.0788,-7.8331,0
789,0.0789,-6.17263,0
790,0.079,-3.63294,0
791,0.0791,-0.385905,0
792,0.0792,3.14312,0
793,0.0793,6.40284,0
794,0.0794,8.90659,0
795,0.0795,10.3914,0
796,0.0796,10.8678,0
797,0.0797,10.5419,0
798,0.0798,9.65756,0
799,0.0799,8.34982,0
800,0.08,6.59017,0
801,0.0801,4.25324,0
802,0.0802,1.26499,0
803,0.0803,-2.25361,0
804,0.0804,-5.93353,0
805,0.0805,-9.2333,0
806,0.0806,-11.6127,0
807,0.0807,-12.7201,0
808,0.0808,-12.5015,0
809,0.0809,-11.1786,0
810,0.081,-9.11339,0
811,0.0811,-6.6339,0
812,0.0812,-3.91496,0
813,0.0813,-0.973845,0
814,0.0814,2.22364,0
815,0.0815,5.61339,0
816,0.0816,8.93148,0
817,0.0817,11.7272,0
818,0.0818,13.4944,0
819,0.0819,13.8598,0
820,0.082,12.7333,0
821,0.0821,10.3438,0
822,0.0822,7.14242,0
823,0.0823,3.62382,0
824,0.0824,0.15702,0
825,0.0825,-3.09017,0
826,0.0826,-6.10268,0
827,0.0827,-8.88325,0
828,0.0828,-11.3162,0
829,0.0829,-13.1149,0
830,0.083,-13.8914,0
831,0.0831,-13.3168,0
832,0.0832,-11.2916,0
833,0.0833,-8.03193,0
834,0.0834,-4.02435,0
835,0.0835,0.13294,0
836,0.0836,3.92549,0
837,0.0837,7.05879,0
838,0.0838,9.47359,0
839,0.0839,11.2441,0
840,0.084,12.425,0
841,0.0841,12.9401,0
842,0.0842,12.5792,0
843,0.0843,11.108,0
844,0.0844,8.43325,0
845,0.0845,4.72802,0
846,0.0846,0.444546,0
847,0.0847,-3.80222,0
848,0.0848,-7.42777,0
849,0.0849,-10.0549,0
850,0.085,-11.5902,0
851,0.0851,-12.1684,0
852,0.0852,-12.0047,0
853,0.0853,-11.2394,0
854,0.0854,-9.86266,0
855,0.0855,-7.75991,0
856,0.0856,-4.84867,0
857,0.0857,-1.22663,0
858,0.0858,2.75827,0
859,0.0859,6.56429,0
860,0.086,9.61911,0
861,0.0861,11.512,0
862,0.0862,12.1201,0
863,0.0863,11.6084,0
864,0.0864,10.3072,0
865,0.0865,8.53692,0
866,0.0866,6.47294,0
867,0.0867,4.12075,0
868,0.0868,1.40802,0
869,0.0869,-1.66436,0
870,0.087,-4.90358,0
871,0.0871,-7.9128,0
872,0.0872,-10.2013,0
873,0.0873,-11.3656,0
874,0.0874,-11.2495,0
875,0.0875,-10,0
876,0.0876,-7.99108,0
877,0.0877,-5.65428,0
878,0.0878,-3.30536,0
879,0.0879,-1.05487,0
880,0.088,1.15596,0
881,0.0881,3.42138,0
882,0.0882,5.72022,0
883,0.0883,7.83735,0
884,0.0884,9.40687,0
885,0.0885,10.0586,0
886,0.0886,9.59181,0
887,0.0887,8.08289,0
888,0.0888,5.86799,0
889,0.0889,3.40685,0
890,0.089,1.09742,0
891,0.0891,-0.863908,0
892,0.0892,-2.50695,0
893,0.0893,-3.9902,0
894,0.0894,-5.44013,0
895,0.0895,-6.81946,0
896,0.0896,-7.90007,0
897,0.0897,-8.35771,0
898,0.0898,-7.93845,0
899,0.0899,-6.60628,0
900,0.09,-4.59017,0
901,0.0901,-2.30226,0
902,0.0902,-0.16781,0
903,0.0903,1.5451,0
904,0.0904,2.8082,0
905,0.0905,3.78756,0
906,0.0906,4.69847,0
907,0.0907,5.64257,0
908,0.0908,6.51813,0
909,0.0909,7.05355,0
910,0.091,6.94668,0
911,0.0911,6.0344,0
912,0.0912,4.39947,0
913,0.0913,2.35529,0
914,0.0914,0.31465,0
915,0.0915,-1.38875,0
916,0.0916,-2.63204,0
917,0.0917,-3.51953,0
918,0.0918,-4.2776,0
919,0.0919,-5.08779,0
920,0.092,-5.95092,0
921,0.0921,-6.65809,0
922,0.0922,-6.88591,0
923,0.0923,-6.3656,0
924,0.0924,-5.03483,0
925,0.0925,-3.09017,0
926,0.0926,-0.910824,0
927,0.0927,1.10616,0
928,0.0928,2.71212,0
929,0.0929,3.88693,0
930,0.093,4.79284,0
931,0.0931,5.63074,0
932,0.0932,6.48035,0
933,0.0933,7.21478,0
934,0.0934,7.53917,0
935,0.0935,7.13509,0
936,0.0936,5.83449,0
937,0.0937,3.72965,0
938,0.0938,1.15916,0
939,0.0939,-1.42423,0
940,0.094,-3.63509,0
941,0.0941,-5.29203,0
942,0.0942,-6.44047,0
943,0.0943,-7.25466,0
944,0.0944,-7.87788,0
945,0.0945,-8.29284,0
946,0.0946,-8.29718,0
947,0.0947,-7.60093,0
948,0.0948,-5.99497,0
949,0.0949,-3.49943,0
950,0.095,-0.40983,0
951,0.0951,2.7877,0
952,0.0952,5.59129,0
953,0.0953,7.66022,0
954,0.0954,8.90522,0
955,0.0955,9.45092,0
956,0.0956,9.49805,0
957,0.0957,9.16641,0
958,0.0958,8.40833,0
959,0.0959,7.0423,0
960,0.096,4.88875,0
961,0.0961,1.93249,0
962,0.0962,-1.58098,0
963,0.0963,-5.17378,0
964,0.0964,-8.28154,0
965,0.0965,-10.4467,0
966,0.0966,-11.4638,0
967,0.0967,-11.4069,0
968,0.0968,-10.5314,0
969,0.0969,-9.10873,0
970,0.097,-7.28756,0
